variation,browse_time
A,5.496714153011233
A,4.861735698828816
A,5.6476885381006925
A,6.523029856408026
A,4.765846625276664
A,4.765863043050819
A,6.5792128155073915
A,5.7674347291529084
A,4.530525614065048
A,5.542560043585965
A,4.536582307187538
A,4.5342702464297435
A,5.241962271566035
A,3.086719755342202
A,3.2750821674869672
A,4.437712470759028
A,3.9871688796655764
A,5.314247332595274
A,4.091975924478789
A,3.5876962986647083
A,6.465648768921554
A,4.774223699513464
A,5.067528204687924
A,3.575251813786543
A,4.455617275474817
A,5.110922589709866
A,3.8490064225776974
A,5.3756980183456715
A,4.399361310081195
A,4.708306250206723
A,4.398293387770603
A,6.852278184508938
A,4.986502775262066
A,3.9422890710440996
A,5.822544912103189
A,3.7791563500289778
A,5.208863595004756
A,3.040329876120224
A,3.6718139511015693
A,5.1968612358691235
A,5.738466579995411
A,5.17136828118997
A,4.88435171761176
A,4.698896304410711
A,3.5214780096325726
A,4.280155791605291
A,4.539361229040212
A,6.057122226218915
A,5.343618289568461
A,3.236959844637266
A,5.3240839693947954
A,4.6149177195836835
A,4.323077999694041
A,5.611676288840868
A,6.030999522495951
A,5.931280119116199
A,4.160782476777362
A,4.690787624148785
A,5.331263431403564
A,5.975545127122359
A,4.52082576215471
A,4.8143410233361825
A,3.893665025993972
A,3.803793375919329
A,5.812525822394198
A,6.356240028570823
A,4.927989878419666
A,6.003532897892024
A,5.361636025047634
A,4.354880245394876
A,5.361395605508414
A,6.538036566465969
A,4.964173960890048
A,6.564643655814006
A,2.3802548959102556
A,5.821902504375224
A,5.087047068238171
A,4.7009926495341325
A,5.091760776535502
A,3.012431085399107
A,4.780328112162488
A,5.357112571511746
A,6.477894044741516
A,4.481729781726353
A,4.191506397106813
A,4.498242956415464
A,5.915402117702074
A,5.3287511096596845
A,4.470239796232962
A,5.513267433113356
A,5.0970775493480405
A,5.968644990532889
A,4.297946906122648
A,4.672337853402232
A,4.607891846867842
A,3.5364850518678814
A,5.296120277064576
A,5.261055272179889
A,5.005113456642461
A,4.765412866624853
A,3.5846292579495858
A,4.579354677234641
A,4.65728548347323
A,4.197722730778381
A,4.838714288333991
A,5.404050856814538
A,6.88618590121053
A,5.174577812831839
A,5.2575503907227645
A,4.925554084233832
A,3.0812287847009587
A,4.973486124550783
A,5.060230209941026
A,7.463242112485286
A,4.807639035218878
A,5.301547342333612
A,4.965288230294757
A,3.8313219623804677
A,6.1428228145150205
A,5.751933032686774
A,5.791031947043047
A,4.090612545205261
A,6.402794310936099
A,3.598148937207719
A,5.58685709380027
A,7.190455625809978
A,4.009463674869312
A,4.433702270397228
A,5.099651365087642
A,4.496524345883801
A,3.4493365689338673
A,5.068562974806027
A,3.937696286273895
A,5.473592430635182
A,4.080575765766197
A,6.54993440501754
A,4.216746707663763
A,4.677938483794325
A,5.81351721736967
A,3.769135683566045
A,5.22745993460413
A,6.307142754282428
A,3.3925167654387725
A,5.184633858532305
A,5.259882794248424
A,5.78182287177731
A,3.763049289121918
A,3.6795433869157237
A,5.521941565616897
A,5.296984673233186
A,5.250492850345877
A,5.346448209496976
A,4.319975278421509
A,5.232253697161004
A,5.293072473298682
A,4.285648581973632
A,6.865774511144757
A,5.4738329209117875
A,3.8086965027973516
A,5.65655360863383
A,4.025318329772679
A,5.787084603742452
A,6.158595579007404
A,4.179317681648289
A,5.963376129244322
A,5.412780926936498
A,5.82206015999449
A,6.896792982653947
A,4.754611883997129
A,4.246263835642511
A,4.110485570374477
